id,calories,proteins,fat,carbohydrate,name,kategori,protein_density,fat_ratio,pct_cal_from_fat,pct_cal_from_protein,pct_cal_from_carb,risiko_kolesterol,is_recommended
914,330.0,17.8,23.4,12.1,Mujahir Acar Kuning Masakan,Tinggi Protein & Lemak,0.0538,0.0707,63.63,21.51,14.62,2,0
915,478.0,38.3,33.9,5.1,Naan Maran Sapi Masakan,Tinggi Protein & Lemak,0.08,0.0708,63.7,31.98,4.26,2,0
916,52.0,0.4,0.2,13.7,Nanas,Rendah Lemak & Karbo,0.0075,0.0038,3.4,3.02,103.4,0,0
917,58.0,0.7,0.2,13.3,Nanas Palembang Segar,Rendah Lemak & Karbo,0.0119,0.0034,3.05,4.75,90.17,0,0
918,165.0,4.2,0.1,36.7,Nangka Biji,Rendah Lemak,0.0253,0.0006,0.54,10.12,88.43,0,0
919,106.0,1.2,0.3,27.6,Nangka Masak Di Pohon,Rendah Lemak,0.0112,0.0028,2.52,4.49,103.18,0,0
920,51.0,2.0,0.4,11.3,Nangka Muda,Rendah Lemak & Karbo,0.0385,0.0077,6.92,15.38,86.92,0,0
921,180.0,3.0,0.3,39.8,Nasi,Rendah Lemak,0.0166,0.0017,1.49,6.63,87.96,0,0
922,149.0,2.8,0.4,32.5,Nasi Beras Merah,Rendah Lemak,0.0187,0.0027,2.4,7.47,86.67,0,0
923,192.0,3.8,8.8,24.4,Nasi Gemuk,Sedang,0.0197,0.0456,41.04,7.88,50.57,1,0
924,276.0,3.2,3.2,30.2,Nasi Goreng,Sedang,0.0116,0.0116,10.4,4.62,43.61,0,0
925,190.0,4.7,7.5,26.0,Nasi Gurih,Sedang,0.0246,0.0393,35.34,9.84,54.45,0,0
926,357.0,8.8,0.5,79.5,Nasi Jagung,Rendah Lemak,0.0246,0.0014,1.26,9.83,88.83,0,0
927,207.0,3.5,5.0,37.1,Nasi Minyak,Sedang,0.0168,0.024,21.63,6.73,71.35,0,0
928,155.0,10.3,4.2,19.1,Nasi Rames,Sedang,0.066,0.0269,24.23,26.41,48.97,0,1
929,120.0,2.4,0.4,26.0,Nasi Tim,Rendah Lemak,0.0198,0.0033,2.98,7.93,85.95,0,0
930,253.3,4.3,21.0,11.7,Nasi Uduk,Tinggi Lemak,0.0169,0.0826,74.32,6.76,18.4,2,0
